raw_name,grade,status,condition,stock,auction_price,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
samsung GALAXY S24 ULTRA 512GB,AE,Terdaftar,Produk Only,1,10700000,37,2026-07-07 17:48:53,S0009-I06-O0037,20260707-174824,9,6,"[0,1294][1200,1546]",008fb0612218,"samsung GALAXY S24 ULTRA 512GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 10,700,000"
samsung GALAXY S24 ULTRA 512GB,AE,Terdaftar,Produk Only,1,10700000,38,2026-07-07 17:48:53,S0009-I07-O0038,20260707-174824,9,7,"[0,1546][1200,1797]",008fb0612218,"samsung GALAXY S24 ULTRA 512GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 10,700,000"
samsung GALAXY S24 ULTRA 512GB,AC,Terdaftar,Produk Only,1,11080000,39,2026-07-07 17:48:53,S0009-I08-O0039,20260707-174824,9,8,"[0,1797][1200,1929]",38e89c8aae03,"samsung GALAXY S24 ULTRA 512GB AC (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 11,080,000"
samsung GALAXY S24 ULTRA 512GB,AE,Terdaftar,Produk Only,1,10700000,40,2026-07-07 17:48:56,S0010-I04-O0040,20260707-174824,10,4,"[0,1014][1200,1265]",008fb0612218,"samsung GALAXY S24 ULTRA 512GB AE (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 10,700,000"
samsung GALAXY S24 FE 256GB,AF,Terdaftar,Produk Only,1,5200000,41,2026-07-07 17:48:56,S0010-I05-O0041,20260707-174824,10,5,"[0,1265][1200,1516]",29aaa430fdb4,"samsung GALAXY S24 FE 256GB AF (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,200,000"
samsung GALAXY S24 FE 512GB,AD,Terdaftar,Produk Only,1,5870000,42,2026-07-07 17:48:56,S0010-I06-O0042,20260707-174824,10,6,"[0,1516][1200,1767]",c75bc3a30de9,"samsung GALAXY S24 FE 512GB AD (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,870,000"
samsung GALAXY S24 FE 128GB,AD,Terdaftar,Produk Only,1,5040000,43,2026-07-07 17:48:56,S0010-I07-O0043,20260707-174824,10,7,"[0,1767][1200,1929]",3e53ec93e6a4,"samsung GALAXY S24 FE 128GB AD (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 5,040,000"
samsung GALAXY S23 ULTRA 256GB,AJ,Terdaftar,Produk Only,1,4630000,44,2026-07-07 17:48:59,S0011-I04-O0044,20260707-174824,11,4,"[0,984][1200,1235]",a8296b97ef85,"samsung GALAXY S23 ULTRA 256GB AJ (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 4,630,000"
samsung GALAXY S24 512GB,AG,Terdaftar,Produk Only,1,6270000,45,2026-07-07 17:48:59,S0011-I05-O0045,20260707-174824,11,5,"[0,1235][1200,1486]",45e59c5013b5,"samsung GALAXY S24 512GB AG (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 6,270,000"
samsung GALAXY S23 ULTRA 256GB,AI,Terdaftar,Produk Only,1,4610000,46,2026-07-07 17:48:59,S0011-I06-O0046,20260707-174824,11,6,"[0,1486][1200,1737]",5ab136bd25d0,"samsung GALAXY S23 ULTRA 256GB AI (Terdaftar) Produk Only Stok : 1 Harga Lelang IDR 4,610,000"
