account,raw_name,grade,status,condition,stock,invoice_price,price_source,scan_order,scanned_at,scan_marker,scan_session_id,screen_no,screen_item_no,source_bounds,source_hash,source_text
mubdi,samsung GALAXY S23 ULTRA 512GB,AE,,,,7980000,"IDR 7,980,000",4,2026-07-07 08:18:50,MUBDI-S0002-I02-O0004,invoice-mubdi-20260707-081844,2,2,"[0,1003][1224,1468]",39f3f5566820,"samsung GALAXY S23 ULTRA 512GB (AE) FAIR Hp Only Stok Barang : 1 Harga Akhir IDR 7,980,000"
mubdi,samsung GALAXY S23 ULTRA 256GB,AF,,,,7880000,"IDR 7,880,000",5,2026-07-07 08:18:50,MUBDI-S0002-I03-O0005,invoice-mubdi-20260707-081844,2,3,"[0,1528][1224,1972]",e89c431bb45c,"samsung GALAXY S23 ULTRA 256GB (AF) ACCEPTABLE Hp Only Stok Barang : 1 Harga Akhir IDR 7,880,000"
mubdi,samsung GALAXY S24 256GB,AD,,,,6960000,"IDR 6,960,000",6,2026-07-07 08:18:53,MUBDI-S0003-I02-O0006,invoice-mubdi-20260707-081844,3,2,"[0,943][1224,1408]",dd49b1c311c1,"samsung GALAXY S24 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 6,960,000"
mubdi,Image Not Found samsung GALAXY S24 FE 512GB,AD,,,,6410000,"IDR 6,410,000",7,2026-07-07 08:18:53,MUBDI-S0003-I03-O0007,invoice-mubdi-20260707-081844,3,3,"[0,1468][1224,1933]",48e954a3eedf,"Image Not Found samsung GALAXY S24 FE 512GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 6,410,000"
mubdi,samsung GALAXY Z FLIP 6 512GB,AD,,,,6830000,"IDR 6,830,000",8,2026-07-07 08:18:57,MUBDI-S0004-I02-O0008,invoice-mubdi-20260707-081844,4,2,"[0,884][1224,1349]",7f16323629a0,"samsung GALAXY Z FLIP 6 512GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 6,830,000"
mubdi,samsung GALAXY A54 5G 256GB,AE,,,,2930000,"IDR 2,930,000",9,2026-07-07 08:18:57,MUBDI-S0004-I03-O0009,invoice-mubdi-20260707-081844,4,3,"[0,1409][1224,1874]",72faa1edd48e,"samsung GALAXY A54 5G 256GB (AE) FAIR Hp Only Stok Barang : 1 Harga Akhir IDR 2,930,000"
mubdi,samsung GALAXY A55 256GB,AD,,,,3750000,"IDR 3,750,000",10,2026-07-07 08:19:00,MUBDI-S0005-I03-O0010,invoice-mubdi-20260707-081844,5,3,"[0,1507][1224,1972]",94925b95b06d,"samsung GALAXY A55 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 3,750,000"
aldi,samsung GALAXY S21 256GB,AI,,,,1400000,"IDR 1,400,000",1,2026-07-07 08:20:28,ALDI-S0001-I01-O0001,invoice-aldi-20260707-082026,1,1,"[0,558][1224,1023]",4c64f351036c,"samsung GALAXY S21 256GB (AI) SCRAPT Hp Only Stok Barang : 1 Harga Akhir IDR 1,400,000"
aldi,samsung GALAXY S21 ULTRA 256GB,AJ,,,,1890000,"IDR 1,890,000",2,2026-07-07 08:20:28,ALDI-S0001-I02-O0002,invoice-aldi-20260707-082026,1,2,"[0,1083][1224,1548]",cec73e248d62,"samsung GALAXY S21 ULTRA 256GB (AJ) LOT SCRAPT Hp Only Stok Barang : 1 Harga Akhir IDR 1,890,000"
aldi,samsung GALAXY S22 ULTRA 256GB,AE,,,,5950000,"IDR 5,950,000",3,2026-07-07 08:20:28,ALDI-S0001-I03-O0003,invoice-aldi-20260707-082026,1,3,"[0,1608][1224,1972]",19062b4602af,"samsung GALAXY S22 ULTRA 256GB (AE) FAIR Hp Only Stok Barang : 1 Harga Akhir IDR 5,950,000"
aldi,samsung GALAXY S23 PLUS 256GB,AD,,,,5590000,"IDR 5,590,000",4,2026-07-07 08:20:32,ALDI-S0002-I02-O0004,invoice-aldi-20260707-082026,2,2,"[0,1003][1224,1468]",5a376ba67756,"samsung GALAXY S23 PLUS 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 5,590,000"
aldi,samsung GALAXY S23 ULTRA 256GB,AE,,,,7750000,"IDR 7,750,000",5,2026-07-07 08:20:32,ALDI-S0002-I03-O0005,invoice-aldi-20260707-082026,2,3,"[0,1528][1224,1972]",d9223c26c65b,"samsung GALAXY S23 ULTRA 256GB (AE) FAIR Hp Only Stok Barang : 1 Harga Akhir IDR 7,750,000"
aldi,samsung GALAXY S24 PLUS 256GB,AD,,,,7530000,"IDR 7,530,000",6,2026-07-07 08:20:35,ALDI-S0003-I02-O0006,invoice-aldi-20260707-082026,3,2,"[0,943][1224,1408]",8481cb650980,"samsung GALAXY S24 PLUS 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 7,530,000"
aldi,samsung GALAXY S25 256GB,AD,,,,8860000,"IDR 8,860,000",7,2026-07-07 08:20:35,ALDI-S0003-I03-O0007,invoice-aldi-20260707-082026,3,3,"[0,1468][1224,1933]",0e6b10413ac8,"samsung GALAXY S25 256GB (AD) GOOD Hp Only Stok Barang : 1 Harga Akhir IDR 8,860,000"
aldi,samsung GALAXY Z FLIP 6 256GB,AJ,,,,3240000,"IDR 3,240,000",8,2026-07-07 08:20:38,ALDI-S0004-I02-O0008,invoice-aldi-20260707-082026,4,2,"[0,982][1224,1447]",3e36754e76a0,"samsung GALAXY Z FLIP 6 256GB (AJ) LOT SCRAPT Hp Only Stok Barang : 1 Harga Akhir IDR 3,240,000"
aldi,samsung GALAXY Z FOLD 6 1024GB,AJ,,,,6380000,"IDR 6,380,000",9,2026-07-07 08:20:38,ALDI-S0004-I03-O0009,invoice-aldi-20260707-082026,4,3,"[0,1507][1224,1972]",dd3d6f2aebae,"samsung GALAXY Z FOLD 6 1024GB (AJ) LOT SCRAPT Hp Only Stok Barang : 1 Harga Akhir IDR 6,380,000"
